,State,Year,Population,pcGD_I16,smth_Inc2000,smth_pov,smth_pcTFnoS,smth_HFR,smth_pct_urban,smth_uninsured,smth_pct_HS,smth_pctBachelor,smth_pctWNH,smth_pcVioGunCrime,smth_pcCops,pct_female,NIS_pct_Dxgun,Observed,Mean,Median,StdDev,Completeness,V7455,V8019,V7165,V8089,V9199,V626,V15244,V10888,V937,V12691,V2951,V18533,V19161,V18761,V17490,V12241,V15223,V19841,V10427,V2625,V14343,V1688,V3003,V17383,V19970,V482,V11872,V17021,V13192,V16965,V3499,V9598,V7987,V134,V11610,V15990,V17401,V4839,V14243,V301,V10030,V261,V16466,V11449,V2747,V905,V15668,V13536,V564,V3388
1,Alabama,2000,4447100,NA,24395.81818,14.16666667,7.70E-05,0.532666667,0.689089156,12.46666667,0.250432049,0.133210788,70.27077963,0.00102547,0.002307567,0.517336466,NA,FALSE,1.64431656,1.643193533,0.133962484,NA,1.465890513,1.599880102,1.365677017,1.601597854,1.6665696,1.659302258,1.525845865,1.705180434,1.517287839,1.613857942,1.739702062,1.587137219,1.583398947,1.671270792,1.61991441,1.693513018,1.509776721,1.62627538,1.759238789,1.537472748,1.73685968,1.691531818,1.91983795,1.926541081,1.565921174,1.48824919,1.745705705,1.938155341,1.554612285,1.497825412,1.47963083,1.714857379,1.852090568,1.552389908,1.591161211,1.602884323,1.619037944,1.912740338,1.663636509,1.805877454,1.671105246,1.659464685,1.483666719,1.649815154,1.784293095,1.465895066,1.599224625,1.392878163,1.705093694,1.964500247
2,Alabama,2001,4467634,NA,24466.16307,14.9,7.70E-05,0.53375,0.68996578,12.375,0.248465369,0.137814322,70.04594123,0.000984672,0.00229892,0.516939391,NA,FALSE,1.648742918,1.64751088,0.134297152,NA,1.329196382,1.611092402,1.480090749,1.755689963,1.761224762,1.516678636,1.774426602,1.701295341,1.352321236,1.652365295,1.81220405,1.699293916,1.539988334,1.50783536,1.609448985,1.632737035,1.621301076,1.505737518,1.65353685,1.525083569,1.763210733,1.731009463,1.880179944,1.705670731,1.755570588,1.61384715,1.631532011,1.906193743,1.612868988,1.495110123,1.550003533,1.633296495,1.917102321,1.486821894,1.706723124,1.703376869,1.600328042,1.920502551,1.633344974,1.833387691,1.691312435,1.805351527,1.66635945,1.782907912,1.693689209,1.447876605,1.637580001,1.464402327,1.598312205,1.91325181
3,Alabama,2002,4480089,NA,24659.02681,14.975,7.80E-05,0.533,0.694623098,12.325,0.239851856,0.146714856,69.73916005,0.000987683,0.002303085,0.516590184,NA,FALSE,1.661946921,1.661452971,0.134539823,NA,1.401845139,1.632071039,1.588395712,1.691621378,1.760279808,1.661431948,1.675074135,1.726120842,1.733137496,1.692348714,1.80340147,1.745508811,1.399316106,1.540586782,1.45531523,1.706819984,1.540346239,1.553665691,1.495843229,1.779264551,1.900264377,1.680137435,1.789949636,1.56810306,1.708130098,1.451938819,1.629128367,1.926216415,1.718371088,1.54328568,1.694007982,1.837997912,1.831814992,1.476476364,1.764429655,1.633160445,1.65027035,1.948275178,1.628910829,1.756277813,1.592285197,1.831041909,1.826270678,1.846784978,1.695814232,1.389583423,1.611010667,1.393887267,1.580509454,1.883699553
4,Alabama,2003,4503491,NA,25114.10444,15.35,7.70E-05,0.51925,0.701230323,12.3,0.238967474,0.151727232,69.44389411,0.000883545,0.002321815,0.51605943,NA,FALSE,1.633010951,1.632307503,0.135247564,NA,1.524532551,1.629800084,1.638694972,1.511128719,1.722228661,1.509030916,1.80019953,1.507174007,1.580721831,1.572502238,1.622493151,1.842314324,1.558713537,1.54809638,1.622791086,1.817966612,1.650288784,1.492307973,1.488963831,1.758063672,1.73473911,1.64543479,1.960558739,1.511778001,1.616834283,1.554874139,1.638266073,1.922238269,1.619074489,1.350214655,1.696945625,1.676577574,1.706108428,1.460913537,1.711900047,1.666523065,1.453202236,1.738777952,1.556293816,1.858605507,1.473579501,1.71906211,1.70982687,1.94954823,1.56688859,1.268133755,1.521605797,1.570358091,1.523994466,1.967239365
5,Alabama,2004,4530729,NA,25760.04321,16.375,7.40E-05,0.50525,0.703360237,12.625,0.249285761,0.146798341,69.13154847,0.000753777,0.002335106,0.516000185,NA,FALSE,1.595649131,1.595840743,0.134137885,NA,1.478609726,1.391262457,1.68481593,1.512530554,1.709299909,1.374920197,1.584901971,1.56034432,1.555061885,1.591007812,1.625016249,1.758189871,1.509611909,1.47942764,1.505885047,1.937872166,1.618449303,1.509609827,1.468904277,1.551034371,1.719982208,1.563952646,1.899864125,1.40473833,1.664183367,1.585240628,1.505658154,1.754125495,1.799189144,1.612777389,1.636851723,1.600673692,1.672601893,1.535398126,1.55435174,1.673233515,1.499249603,1.710752028,1.568109633,1.853373082,1.475209426,1.581206201,1.822781609,1.8447379,1.489099427,1.358795557,1.503882152,1.478334988,1.595343378,1.776527266
6,Alabama,2005,4569805,NA,26298.3822,16.15,7.80E-05,0.4885,0.706663735,13.775,0.261870111,0.139688475,68.79201452,0.000709668,0.002331266,0.515650668,NA,FALSE,1.653204151,1.654878838,0.13418843,NA,1.531233074,1.538408463,1.645559254,1.608859509,1.75790373,1.350325337,1.718333738,1.618552566,1.568070332,1.736392376,1.650291389,1.772161846,1.69199144,1.733053966,1.745840287,1.977288017,1.689354347,1.517438492,1.543909772,1.583003489,1.925514402,1.624811996,2.100656611,1.464379542,1.704624153,1.641359714,1.553061898,1.936673673,1.843824005,1.566276589,1.665374538,1.815513956,1.675338702,1.625638931,1.434574934,1.693517524,1.472532099,1.845698357,1.739474227,1.911445029,1.445939748,1.689850229,1.693061421,1.917470299,1.643608115,1.38243856,1.485474157,1.478828383,1.695733302,1.746765657
7,Alabama,2006,4628981,NA,26703.91757,14.95,8.30E-05,0.4755,0.720853546,13.975,0.268961425,0.140506361,68.43044789,0.000737916,0.002321531,0.515335881,NA,FALSE,1.753234657,1.754065713,0.136353609,NA,1.417060742,1.657620764,1.905850118,1.63090795,1.939899951,1.592847064,1.833375931,1.580324279,1.774355055,1.706935056,1.936293336,1.895174916,1.658816702,1.748385677,1.759334556,2.1753891,1.816351593,1.638067788,1.755223308,1.686348582,1.986428851,1.633975468,1.988010494,1.824078914,1.860073955,1.641700756,1.828578057,1.785872799,2.198896535,1.721073144,1.690054761,1.93342953,1.786393922,1.656135022,1.555096577,1.729455492,1.703802846,2.004232823,1.891004293,1.879107162,1.482866601,1.826339274,1.837279591,1.832499802,1.762453112,1.510417059,1.558672998,1.571220288,1.839838815,1.789487031
8,Alabama,2007,4672840,NA,26885.02436,14.4,8.60E-05,0.48325,0.737428067,12.5,0.259626838,0.147500421,68.07000466,0.000851651,0.002335333,0.515163156,NA,FALSE,1.821736663,1.821269507,0.137216082,NA,1.529032266,1.681132034,2.056059823,1.601743603,1.875354825,1.699004418,1.817586366,1.597806531,1.72363915,1.846976776,2.027053157,1.874106918,1.838722861,1.699135223,1.853363081,2.172438374,1.811464125,1.736534005,1.697535682,1.857266779,2.116641974,1.857255358,2.047984766,1.78519346,1.958371873,1.725180987,1.883361286,1.802856327,1.975468664,1.842094741,1.850044721,1.861714662,1.936162256,1.883118494,1.477944171,1.88961453,1.738783888,2.049511625,1.840425207,1.911755322,1.630562662,1.954531961,1.744546968,1.912803715,1.820196616,1.672522375,1.688117926,1.585396346,1.877653439,1.887834994
9,Alabama,2008,4718206,NA,26658.46901,14.925,8.30E-05,0.49225,0.737279308,12.775,0.246383504,0.154632214,67.71497539,0.000892652,0.002374762,0.515080732,NA,FALSE,1.762402727,1.762152293,0.135416947,NA,1.641367857,1.601372913,1.983480355,1.843369175,1.759729632,1.491132078,1.786649376,1.57797205,1.671373091,1.914296586,1.622713243,1.697321352,1.805433639,1.632261499,1.728917719,2.010694395,1.796670274,1.668956793,1.69177942,1.71541724,1.98478744,1.717046652,1.902248508,1.715105828,1.602479848,1.70066284,1.714069504,1.825356931,2.023736668,1.857258994,1.790306624,1.851924396,1.874609987,1.722486732,1.692639697,1.744636134,1.663415713,1.810828483,1.850939699,1.675464253,1.564110937,1.911220173,1.757392336,1.922861643,1.881239303,1.619927424,1.664470704,1.517242926,1.902141089,1.899240535
10,Alabama,2009,4757938,NA,26451.23293,16.175,7.50E-05,0.48075,0.72314395,14.95,0.25497021,0.155023948,67.3791817,0.000741377,0.002392321,0.514542014,NA,FALSE,1.591804931,1.591338223,0.131248015,NA,1.537732497,1.509904362,1.803033879,1.604291529,1.507680142,1.460391143,1.568010537,1.45064648,1.581612034,1.501210127,1.639773064,1.515310919,1.558089274,1.448763919,1.605453551,1.767123034,1.813066966,1.68177992,1.519454888,1.422737069,1.685939842,1.480006369,1.68782482,1.389877732,1.671815239,1.561859894,1.682711741,1.666477184,1.650348649,1.634968607,1.54124532,1.627321661,1.763901179,1.507266494,1.431938071,1.450640953,1.613037694,1.654239539,1.631862651,1.566287976,1.490843641,1.536630023,1.424148717,1.667140586,1.828445572,1.458111809,1.533555608,1.424986011,1.652130786,1.587695553
11,Alabama,2010,4779736,NA,26598.66649,16.6,7.00E-05,0.47675,0.720667583,15.1,0.266055938,0.153578719,67.09891803,0.000640534,0.00237877,0.515193517,NA,FALSE,1.495246899,1.495502038,0.130029093,NA,1.413368497,1.412799463,1.71843942,1.63857813,1.26966146,1.263178152,1.430325661,1.433815992,1.349201087,1.618533447,1.71184548,1.296773051,1.533768884,1.350603086,1.39108876,1.594061487,1.601198056,1.675804098,1.36237249,1.230723486,1.64999244,1.640647318,1.351105549,1.450036978,1.476644715,1.540354971,1.637618562,1.485530118,1.52821292,1.529921839,1.348303947,1.619751871,1.661024936,1.444149115,1.449299775,1.379901412,1.497906483,1.446952978,1.518833463,1.431870424,1.341273562,1.52079187,1.51292777,1.547618797,1.710416336,1.423679036,1.425787284,1.394674471,1.456293924,1.694605126
